p,beta,classical_value,quantum_value,gap,classical_oracle_value,classical_oracle_abs_error,deterministic_strategy_count
0.37,0.0,0.8631,0.8774535997973791,0.014353599797379157,0.8631,0.0,16
0.38,0.0,0.8556,0.8739180658914464,0.018318065891446356,0.8556,0.0,16
0.39,0.0,0.8479,0.8706653746979882,0.022765374697988228,0.8479,0.0,16
0.4,0.0,0.84,0.8676955262170047,0.027695526217004773,0.84,0.0,16
0.41,0.0,0.8319000000000001,0.8650085204484959,0.03310852044849577,0.8319000000000001,0.0,16
0.42,0.0,0.8236000000000001,0.8626043573924616,0.03900435739246144,0.8236000000000001,0.0,16
0.43,0.0,0.8151,0.8604830370489019,0.0453830370489019,0.8151,0.0,16
0.44,0.0,0.8064,0.8586445594178169,0.052244559417816916,0.8064000000000001,1.1102230246251565e-16,16
0.45,0.0,0.7975000000000001,0.8570889244992065,0.059588924499206386,0.7975000000000001,0.0,16
0.46,0.0,0.7884,0.8558161322930707,0.06741613229307075,0.7884000000000001,1.1102230246251565e-16,16
0.47,0.0,0.7791,0.8548261827994096,0.07572618279940957,0.7791,0.0,16
0.48,0.0,0.7696000000000001,0.854119076018223,0.08451907601822295,0.7696000000000001,0.0,16
0.49,0.0,0.7599,0.8536948119495111,0.09379481194951111,0.7599,0.0,16
0.5,0.0,0.75,0.8535533905932737,0.10355339059327373,0.75,0.0,16
0.51,0.0,0.7599,0.8536948119495111,0.09379481194951111,0.7599,0.0,16
0.52,0.0,0.7696000000000001,0.854119076018223,0.08451907601822295,0.7696000000000001,0.0,16
0.53,0.0,0.7791,0.8548261827994096,0.07572618279940957,0.7791,0.0,16
0.54,0.0,0.7884,0.8558161322930707,0.06741613229307075,0.7884,0.0,16
0.55,0.0,0.7975000000000001,0.8570889244992065,0.059588924499206386,0.7975000000000001,0.0,16
0.56,0.0,0.8064,0.8586445594178169,0.052244559417816916,0.8064,0.0,16
0.57,0.0,0.8150999999999999,0.8604830370489019,0.04538303704890201,0.8150999999999999,0.0,16
0.58,0.0,0.8236,0.8626043573924616,0.03900435739246155,0.8236,0.0,16
0.59,0.0,0.8319,0.8650085204484959,0.03310852044849588,0.8319,0.0,16
0.6,0.0,0.84,0.8676955262170047,0.027695526217004773,0.84,0.0,16
0.61,0.0,0.8479,0.8706653746979882,0.022765374697988228,0.8479,0.0,16
0.62,0.0,0.8556,0.8739180658914463,0.018318065891446245,0.8556,0.0,16
0.63,0.0,0.8631,0.8774535997973791,0.014353599797379157,0.8631,0.0,16
0.64,0.0,0.8704000000000001,0.8812719764157864,0.0108719764157863,0.8704000000000001,0.0,16
0.65,0.0,0.8775,0.8853731957466684,0.007873195746668449,0.8775,0.0,16
0.66,0.0,0.8844000000000001,0.889757257790025,0.0053572577900249385,0.8844000000000001,0.0,16
0.67,0.0,0.8911,0.8944241625458562,0.003324162545856213,0.8911,0.0,16
0.68,0.0,0.8976000000000001,0.8993739100141621,0.00177391001416205,0.8976000000000001,0.0,16
0.69,0.0,0.9038999999999999,0.9046065001949425,0.0007065001949425609,0.9038999999999999,0.0,16
0.7,0.0,0.9099999999999999,0.9101219330881976,0.00012193308819763438,0.9099999999999999,0.0,16
0.71,0.0,0.9158999999999999,0.9159,1.1102230246251565e-16,0.9159,1.1102230246251565e-16,16
0.72,0.0,0.9216,0.9216,0.0,0.9216,0.0,16
0.73,0.0,0.9271,0.9271,0.0,0.9270999999999999,1.1102230246251565e-16,16
0.74,0.0,0.9324,0.9324,0.0,0.9324,0.0,16
0.75,0.0,0.9375,0.9375,0.0,0.9375,0.0,16
0.76,0.0,0.9424,0.9424,0.0,0.9424,0.0,16
0.77,0.0,0.9471,0.9471,0.0,0.9470999999999999,1.1102230246251565e-16,16
0.78,0.0,0.9516,0.9516,0.0,0.9516,0.0,16
0.79,0.0,0.9559,0.9559000000000001,1.1102230246251565e-16,0.9559000000000001,1.1102230246251565e-16,16
0.8,0.0,0.9600000000000001,0.9600000000000001,0.0,0.9600000000000001,0.0,16
0.81,0.0,0.9639,0.9639,0.0,0.9639,0.0,16
0.82,0.0,0.9676,0.9676,0.0,0.9676,0.0,16
0.83,0.0,0.9711000000000001,0.9711,-1.1102230246251565e-16,0.9711000000000001,0.0,16
0.84,0.0,0.9743999999999999,0.9743999999999999,0.0,0.9743999999999999,0.0,16
0.85,0.0,0.9775,0.9774999999999999,-1.1102230246251565e-16,0.9774999999999999,1.1102230246251565e-16,16
0.86,0.0,0.9803999999999999,0.9803999999999999,0.0,0.9803999999999999,0.0,16
0.87,0.0,0.9831000000000001,0.9831000000000001,0.0,0.9831000000000001,0.0,16
0.88,0.0,0.9856,0.9856,0.0,0.9856,0.0,16
0.89,0.0,0.9879,0.9879,0.0,0.9879,0.0,16
0.9,0.0,0.99,0.99,0.0,0.99,0.0,16
0.91,0.0,0.9919,0.9919,0.0,0.9919,0.0,16
0.92,0.0,0.9936,0.9936,0.0,0.9936,0.0,16
0.93,0.0,0.9951000000000001,0.9951000000000001,0.0,0.9951000000000001,0.0,16
0.94,0.0,0.9964,0.9964000000000001,1.1102230246251565e-16,0.9964000000000001,1.1102230246251565e-16,16
0.95,0.0,0.9975,0.9975,0.0,0.9975,0.0,16
