epsilon,alpha,t_env_seconds,classical_bias,quantum_bias,classical_win_probability,noisy_quantum_win_probability,noisy_gap,epsilon_threshold,required_trials,expected_quantum_wins,certification_p_value,previous_round_p_value,required_rate_hz,required_rate_khz,reference_hardware_rate_hz,reference_hardware_rate_pass
0.036,0.05,0.1,0.5,0.7071067811865475,0.75,0.8408254685319159,0.09082546853191587,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,500.0,0.5,7900.0,True
0.036,0.05,10.0,0.5,0.7071067811865475,0.75,0.8408254685319159,0.09082546853191587,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,5.0,0.005,7900.0,True
0.037,0.05,0.001,0.5,0.7071067811865475,0.75,0.8404719151413226,0.09047191514132258,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,50000.0,50.0,7900.0,False
0.037,0.05,0.1,0.5,0.7071067811865475,0.75,0.8404719151413226,0.09047191514132258,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,500.0,0.5,7900.0,True
0.037,0.05,10.0,0.5,0.7071067811865475,0.75,0.8404719151413226,0.09047191514132258,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,5.0,0.005,7900.0,True
0.038,0.05,0.001,0.5,0.7071067811865475,0.75,0.8401183617507293,0.09011836175072929,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,50000.0,50.0,7900.0,False
0.038,0.05,0.1,0.5,0.7071067811865475,0.75,0.8401183617507293,0.09011836175072929,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,500.0,0.5,7900.0,True
0.038,0.05,10.0,0.5,0.7071067811865475,0.75,0.8401183617507293,0.09011836175072929,0.2928932188134524,50,43,0.04525584649016445,0.05267047246469901,5.0,0.005,7900.0,True
0.039,0.05,0.001,0.5,0.7071067811865475,0.75,0.8397648083601361,0.08976480836013606,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,55000.0,55.0,7900.0,False
0.039,0.05,0.1,0.5,0.7071067811865475,0.75,0.8397648083601361,0.08976480836013606,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,550.0,0.55,7900.0,True
0.039,0.05,10.0,0.5,0.7071067811865475,0.75,0.8397648083601361,0.08976480836013606,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,5.5,0.0055,7900.0,True
0.04,0.05,0.001,0.5,0.7071067811865475,0.75,0.8394112549695427,0.08941125496954277,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,55000.0,55.0,7900.0,False
0.04,0.05,0.1,0.5,0.7071067811865475,0.75,0.8394112549695427,0.08941125496954277,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,550.0,0.55,7900.0,True
0.04,0.05,10.0,0.5,0.7071067811865475,0.75,0.8394112549695427,0.08941125496954277,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,5.5,0.0055,7900.0,True
0.041,0.05,0.001,0.5,0.7071067811865475,0.75,0.8390577015789495,0.08905770157894949,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,55000.0,55.0,7900.0,False
0.041,0.05,0.1,0.5,0.7071067811865475,0.75,0.8390577015789495,0.08905770157894949,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,550.0,0.55,7900.0,True
0.041,0.05,10.0,0.5,0.7071067811865475,0.75,0.8390577015789495,0.08905770157894949,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,5.5,0.0055,7900.0,True
0.042,0.05,0.001,0.5,0.7071067811865475,0.75,0.8387041481883561,0.0887041481883562,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,55000.0,55.0,7900.0,False
0.042,0.05,0.1,0.5,0.7071067811865475,0.75,0.8387041481883561,0.0887041481883562,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,550.0,0.55,7900.0,True
0.042,0.05,10.0,0.5,0.7071067811865475,0.75,0.8387041481883561,0.0887041481883562,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,5.5,0.0055,7900.0,True
0.043,0.05,0.001,0.5,0.7071067811865475,0.75,0.838350594797763,0.08835059479776297,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,55000.0,55.0,7900.0,False
0.043,0.05,0.1,0.5,0.7071067811865475,0.75,0.838350594797763,0.08835059479776297,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,550.0,0.55,7900.0,True
0.043,0.05,10.0,0.5,0.7071067811865475,0.75,0.838350594797763,0.08835059479776297,0.2928932188134524,55,47,0.04539899529365685,0.0525030451302739,5.5,0.0055,7900.0,True
