nu,p,beta,classical_value,noiseless_quantum_value,noisy_quantum_value,signed_noisy_gap,plotted_noisy_gap,theoretical_advantage
0.01,0.36,0.01,0.865792,0.8774785123209002,0.8737037271976912,0.007911727197691176,0.007911727197691176,True
0.01,0.37,0.01,0.858438,0.8736981266262918,0.8699611453600289,0.011523145360028852,0.011523145360028852,True
0.01,0.38,0.01,0.8508880000000001,0.8701977695016544,0.8664957918066378,0.015607791806637739,0.015607791806637739,True
0.01,0.39,0.01,0.843142,0.8669774409469879,0.863307666537518,0.020165666537518057,0.020165666537518057,True
0.01,0.4,0.01,0.8351999999999999,0.8640371409622924,0.8603967695526695,0.025196769552669585,0.025196769552669585,True
0.01,0.41,0.01,0.8270620000000001,0.8613768695475681,0.8577631008520924,0.030701100852092322,0.030701100852092322,True
0.01,0.42,0.01,0.8187280000000001,0.8589966267028146,0.8554066604357865,0.03667866043578638,0.03667866043578638,True
0.01,0.43,0.01,0.810198,0.8568964124280322,0.8533274483037518,0.04312944830375187,0.04312944830375187,True
0.01,0.44,0.01,0.8014720000000001,0.8550762267232207,0.8515254644559885,0.05005346445598846,0.05005346445598846,True
0.01,0.45,0.01,0.7925500000000001,0.8535360695883802,0.8500007088924965,0.05745070889249637,0.05745070889249637,True
0.01,0.46,0.01,0.783432,0.8522759410235108,0.8487531816132756,0.0653211816132756,0.0653211816132756,True
0.01,0.47,0.01,0.774118,0.8512958410286122,0.8477828826183261,0.07366488261832616,0.07366488261832616,True
0.01,0.48,0.01,0.764608,0.8505957696036848,0.8470898119076479,0.08248181190764792,0.08248181190764792,True
0.01,0.49,0.01,0.754902,0.8501757267487282,0.846673969481241,0.091771969481241,0.091771969481241,True
0.01,0.5,0.01,0.75,0.8500357124637428,0.8465353553391053,0.09653535533910529,0.09653535533910529,True
0.01,0.51,0.01,0.754902,0.8501757267487282,0.846673969481241,0.091771969481241,0.091771969481241,True
0.01,0.52,0.01,0.764608,0.8505957696036848,0.8470898119076479,0.08248181190764792,0.08248181190764792,True
0.01,0.53,0.01,0.774118,0.8512958410286122,0.8477828826183261,0.07366488261832616,0.07366488261832616,True
0.01,0.54,0.01,0.783432,0.8522759410235108,0.8487531816132756,0.0653211816132756,0.0653211816132756,True
0.01,0.55,0.01,0.7925500000000001,0.8535360695883801,0.8500007088924963,0.05745070889249626,0.05745070889249626,True
0.01,0.56,0.01,0.801472,0.8550762267232206,0.8515254644559884,0.05005346445598846,0.05005346445598846,True
0.01,0.57,0.01,0.810198,0.856896412428032,0.8533274483037517,0.04312944830375176,0.04312944830375176,True
0.01,0.58,0.01,0.8187279999999999,0.8589966267028146,0.8554066604357865,0.0366786604357866,0.0366786604357866,True
0.01,0.59,0.01,0.827062,0.8613768695475681,0.8577631008520924,0.030701100852092433,0.030701100852092433,True
0.01,0.6,0.01,0.8351999999999999,0.8640371409622924,0.8603967695526695,0.025196769552669585,0.025196769552669585,True
